,T_GUS_25,T_CCD8_7,T_CCD8_9,T_CCD8_16,T_722_12,T_MMA_4,T_GUS_10,T_722_15,T_MMA_3,T_EP_4,T_712_7,T_EP_3,T_712_9,T_722_14,T_722_13,T_MMA_5,T_GUS_16,T_CCD8_10,T_GUS_18,T_MMA_11,T_712_11,T_712_16,T_CCD8_8,T_712_18,T_GUS_23,T_CCD8_1,T_722_5,T_712_8,T_712_6,T_EP_2,T_722_1,T_722_6,T_712_2,T_EP_1,T_MMA_6,T_GUS_12,T_722_17,T_MMA_1,T_MMA_12,T_CCD8_14,T_CCD8_13,T_CCD8_5,T_GUS_20,T_712_4,T_722_9,T_GUS_21,T_GUS_26,T_CCD8_3,T_712_13,T_712_14,T_MMA_13,T_CCD8_15,T_GUS_13,T_722_16
adeS,1852.0,2220.0,2263.0,1771.0,1757.0,2330.0,2501.0,1915.0,1845.0,1669.0,1176.0,1667.0,1576.0,2292.0,1760.0,1630.0,1784.0,1450.0,1825.0,1719.0,1557.0,1829.0,1698.0,1469.0,2524.0,2130.0,1993.0,1978.0,1374.0,1691.0,1817.0,1925.0,1448.0,1395.0,1273.0,2096.0,1864.0,1616.0,1701.0,2016.0,2119.0,2092.0,1997.0,1653.0,2176.0,2491.0,2084.0,1587.0,1740.0,1315.0,1957.0,1478.0,1581.0,1693.0
baeR,20044.0,19869.0,18029.0,17969.0,18476.0,16530.0,19786.0,20454.0,18783.0,17373.0,14128.0,17452.0,16092.0,17928.0,17136.0,16113.0,20828.0,17669.0,19444.0,18161.0,14006.0,15546.0,17112.0,15586.0,20960.0,19841.0,18703.0,15915.0,13859.0,20173.0,17174.0,17939.0,12979.0,16503.0,14705.0,19816.0,18645.0,17154.0,19734.0,17345.0,17753.0,17533.0,16213.0,15901.0,18522.0,17604.0,19735.0,17509.0,16184.0,15697.0,18116.0,20066.0,17872.0,17241.0
baeS,2561.0,3186.0,2659.0,2403.0,3126.0,2392.0,2630.0,2627.0,2565.0,2508.0,1901.0,1982.0,2461.0,1956.0,2445.0,3010.0,2923.0,2412.0,2686.0,2366.0,1629.0,2678.0,1931.0,2323.0,2561.0,3214.0,2663.0,2482.0,2257.0,2306.0,2623.0,2771.0,2313.0,2355.0,2110.0,2744.0,2480.0,2751.0,3087.0,2195.0,2375.0,2829.0,2545.0,2456.0,2739.0,2494.0,2842.0,3401.0,3214.0,2327.0,2270.0,2616.0,2509.0,2573.0
blaI,2202.0,2401.0,1898.0,1972.0,1761.0,1581.0,1916.0,1876.0,2001.0,1860.0,1540.0,1941.0,1891.0,1812.0,1813.0,1893.0,2092.0,1762.0,1953.0,1920.0,1557.0,1693.0,1893.0,1623.0,2248.0,1849.0,1889.0,1711.0,1583.0,2363.0,2002.0,1789.0,1525.0,2174.0,1669.0,2367.0,2114.0,2057.0,1871.0,1790.0,1855.0,1860.0,1604.0,1632.0,1941.0,1911.0,2072.0,2146.0,2102.0,1694.0,1834.0,2086.0,1892.0,1873.0
blaR1,212.0,622.0,391.0,237.0,393.0,347.0,679.0,490.0,534.0,521.0,439.0,356.0,388.0,507.0,442.0,442.0,333.0,341.0,407.0,542.0,491.0,407.0,431.0,307.0,251.0,411.0,385.0,458.0,368.0,454.0,622.0,309.0,386.0,543.0,516.0,452.0,347.0,250.0,479.0,425.0,332.0,441.0,465.0,260.0,446.0,330.0,151.0,465.0,687.0,479.0,331.0,348.0,400.0,324.0
emrB,144436.0,142813.0,150146.0,134223.0,135843.0,155081.0,158460.0,153915.0,160081.0,144060.0,115573.0,147280.0,124576.0,134647.0,120015.0,122425.0,148858.0,150334.0,147296.0,162440.0,105753.0,125841.0,119705.0,112753.0,131452.0,167750.0,148307.0,131552.0,122548.0,128061.0,146005.0,144270.0,127524.0,149007.0,138894.0,135964.0,140223.0,144745.0,173070.0,116660.0,140722.0,158605.0,141203.0,114049.0,163446.0,173544.0,140121.0,167119.0,121727.0,116848.0,153116.0,144375.0,134512.0,126462.0
emrE,4103.0,4048.0,4272.0,3704.0,4153.0,4767.0,4499.0,4486.0,4541.0,4323.0,3218.0,3760.0,3569.0,4184.0,3639.0,4238.0,3892.0,4383.0,4284.0,4385.0,3323.0,3311.0,3707.0,3360.0,4198.0,4950.0,4212.0,3792.0,3395.0,3465.0,3987.0,3824.0,3392.0,4218.0,3865.0,4007.0,3986.0,4268.0,4924.0,4019.0,3843.0,4260.0,3915.0,2996.0,4872.0,4416.0,4269.0,4543.0,3657.0,3359.0,4222.0,4236.0,3909.0,3979.0
macA,46270.0,48098.0,41941.0,43539.0,40380.0,34758.0,44073.0,41770.0,43072.0,41789.0,29134.0,40561.0,38196.0,42440.0,40705.0,39020.0,49048.0,39682.0,45646.0,40380.0,34242.0,36274.0,40166.0,35245.0,49716.0,45982.0,41935.0,36217.0,31805.0,47599.0,41678.0,40304.0,30869.0,43771.0,31507.0,44969.0,44064.0,40495.0,43567.0,44967.0,41336.0,39214.0,36359.0,35014.0,45807.0,40140.0,45019.0,42069.0,33914.0,36960.0,39210.0,42124.0,40012.0,39498.0
macB,442207.0,438858.0,422767.0,407572.0,401093.0,386557.0,429410.0,410340.0,421681.0,399807.0,307575.0,401832.0,360692.0,393176.0,373627.0,377304.0,451744.0,387781.0,440413.0,397100.0,307630.0,340833.0,386343.0,335205.0,454199.0,440250.0,417667.0,350200.0,320900.0,440127.0,400280.0,391493.0,320607.0,410456.0,348028.0,421686.0,418260.0,413894.0,444112.0,399258.0,410344.0,407266.0,372763.0,301680.0,468737.0,438307.0,450983.0,426502.0,339447.0,339245.0,398023.0,411453.0,390918.0,376267.0
macrolide_glycosyl,4770.0,4832.0,4371.0,4112.0,4143.0,3757.0,4190.0,4052.0,4464.0,3971.0,3084.0,4158.0,3607.0,3860.0,3771.0,3185.0,4639.0,4110.0,3932.0,4522.0,3401.0,3482.0,3504.0,3824.0,4095.0,4916.0,4238.0,3773.0,3811.0,5424.0,4390.0,4120.0,3387.0,5213.0,2690.0,4116.0,4488.0,4378.0,4657.0,4246.0,3744.0,4124.0,4148.0,3755.0,4493.0,4487.0,3921.0,4613.0,3853.0,3434.0,4758.0,3439.0,3831.0,3218.0
