,T_GUS_25,T_CCD8_7,T_CCD8_9,T_CCD8_16,T_722_12,T_MMA_4,T_GUS_10,T_722_15,T_MMA_3,T_EP_4,T_712_7,T_EP_3,T_712_9,T_722_14,T_722_13,T_MMA_5,T_GUS_16,T_CCD8_10,T_GUS_18,T_MMA_11,T_712_11,T_712_16,T_CCD8_8,T_712_18,T_GUS_23,T_CCD8_1,T_722_5,T_712_8,T_712_6,T_EP_2,T_722_1,T_722_6,T_712_2,T_EP_1,T_MMA_6,T_GUS_12,T_722_17,T_MMA_1,T_MMA_12,T_CCD8_14,T_CCD8_13,T_CCD8_5,T_GUS_20,T_712_4,T_722_9,T_GUS_21,T_GUS_26,T_CCD8_3,T_712_13,T_712_14,T_MMA_13,T_CCD8_15,T_GUS_13,T_722_16
16S_rRNA_methyltrans,,,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,6.0,,,,,,17.0,,,,,,,
AAC3,849.0,695.0,735.0,749.0,844.0,774.0,885.0,814.0,775.0,943.0,658.0,994.0,619.0,792.0,733.0,565.0,977.0,710.0,770.0,747.0,464.0,627.0,642.0,754.0,833.0,928.0,722.0,758.0,670.0,1099.0,808.0,767.0,691.0,945.0,605.0,678.0,857.0,832.0,853.0,605.0,763.0,827.0,832.0,654.0,958.0,922.0,712.0,825.0,634.0,696.0,780.0,711.0,687.0,695.0
AAC3-I,2283.0,2323.0,1984.0,1680.0,1884.0,2182.0,2074.0,2075.0,2162.0,1440.0,1786.0,1500.0,1772.0,1895.0,1789.0,1976.0,2746.0,1785.0,2203.0,2204.0,1309.0,2039.0,1665.0,1523.0,2201.0,2058.0,2574.0,1799.0,1820.0,1783.0,1911.0,1631.0,1650.0,1478.0,1900.0,2136.0,1863.0,1885.0,2181.0,1691.0,1921.0,2166.0,2213.0,1775.0,2175.0,2032.0,2085.0,2388.0,1934.0,1666.0,2076.0,2108.0,1962.0,2047.0
AAC6-I,858.0,776.0,718.0,720.0,802.0,662.0,695.0,863.0,636.0,868.0,591.0,742.0,810.0,805.0,748.0,910.0,826.0,807.0,843.0,778.0,786.0,602.0,620.0,483.0,749.0,833.0,656.0,701.0,596.0,718.0,663.0,669.0,490.0,984.0,631.0,860.0,785.0,827.0,804.0,873.0,604.0,604.0,729.0,729.0,796.0,683.0,780.0,957.0,702.0,687.0,774.0,655.0,692.0,712.0
AAC6-II,2521.0,2581.0,2387.0,2135.0,2439.0,2288.0,2450.0,2702.0,2625.0,2927.0,1884.0,2841.0,2143.0,2301.0,1940.0,1792.0,2693.0,2351.0,2540.0,2229.0,1682.0,1631.0,1887.0,1791.0,2177.0,2995.0,2329.0,2231.0,1892.0,2492.0,2489.0,2404.0,2129.0,2876.0,2575.0,2196.0,2537.0,2288.0,2964.0,2171.0,2154.0,2347.0,2589.0,2142.0,2733.0,2889.0,2359.0,2635.0,1744.0,2098.0,2648.0,2506.0,2179.0,2038.0
AAC6-Ib,436.0,374.0,318.0,281.0,195.0,439.0,375.0,290.0,458.0,433.0,216.0,302.0,283.0,445.0,272.0,395.0,229.0,330.0,284.0,481.0,213.0,309.0,314.0,234.0,370.0,432.0,278.0,304.0,277.0,311.0,376.0,347.0,252.0,286.0,401.0,314.0,373.0,336.0,433.0,345.0,242.0,317.0,226.0,282.0,566.0,423.0,449.0,432.0,309.0,246.0,516.0,413.0,303.0,349.0
ABC_efflux,96434.0,93152.0,94702.0,89387.0,92677.0,90057.0,100521.0,96288.0,98344.0,93693.0,70992.0,92268.0,82470.0,89147.0,84557.0,83270.0,100619.0,90191.0,98088.0,92073.0,69606.0,76797.0,87857.0,76673.0,97464.0,105000.0,93199.0,81506.0,71486.0,92379.0,87526.0,88423.0,73887.0,92592.0,79775.0,92285.0,92171.0,97368.0,100026.0,86507.0,90320.0,93445.0,85502.0,72009.0,102714.0,98656.0,100732.0,96066.0,73859.0,75712.0,91426.0,95263.0,89324.0,84463.0
ANT,250.0,164.0,158.0,275.0,209.0,219.0,319.0,226.0,234.0,316.0,197.0,321.0,263.0,196.0,244.0,197.0,221.0,190.0,206.0,304.0,204.0,183.0,168.0,310.0,179.0,275.0,243.0,296.0,226.0,187.0,303.0,238.0,137.0,350.0,256.0,223.0,190.0,273.0,230.0,238.0,258.0,195.0,246.0,149.0,290.0,157.0,175.0,222.0,214.0,202.0,186.0,215.0,204.0,155.0
ANT2,140.0,156.0,185.0,137.0,192.0,181.0,239.0,169.0,232.0,182.0,86.0,222.0,143.0,140.0,124.0,169.0,140.0,141.0,148.0,133.0,140.0,118.0,108.0,117.0,106.0,244.0,139.0,136.0,63.0,120.0,214.0,136.0,123.0,135.0,152.0,98.0,209.0,228.0,260.0,101.0,154.0,81.0,159.0,135.0,148.0,155.0,160.0,109.0,79.0,162.0,216.0,187.0,152.0,138.0
ANT3,43.0,22.0,34.0,5.0,78.0,62.0,25.0,67.0,48.0,20.0,17.0,40.0,33.0,64.0,52.0,18.0,61.0,32.0,54.0,20.0,41.0,31.0,28.0,16.0,33.0,40.0,25.0,56.0,7.0,6.0,23.0,45.0,21.0,95.0,16.0,28.0,7.0,93.0,104.0,39.0,6.0,22.0,60.0,25.0,35.0,33.0,17.0,43.0,29.0,11.0,71.0,36.0,58.0,84.0
ANT4,26.0,33.0,60.0,4.0,55.0,57.0,,50.0,49.0,60.0,12.0,42.0,13.0,20.0,37.0,51.0,30.0,51.0,29.0,32.0,42.0,41.0,55.0,28.0,47.0,,30.0,66.0,31.0,,31.0,47.0,30.0,100.0,61.0,9.0,9.0,32.0,27.0,31.0,52.0,41.0,93.0,59.0,48.0,38.0,17.0,20.0,14.0,27.0,,43.0,16.0,79.0
ANT6,19.0,7.0,19.0,27.0,14.0,30.0,6.0,22.0,,49.0,22.0,16.0,21.0,14.0,30.0,,18.0,13.0,9.0,15.0,20.0,6.0,25.0,19.0,5.0,4.0,18.0,4.0,29.0,11.0,7.0,21.0,9.0,24.0,40.0,6.0,11.0,37.0,9.0,15.0,26.0,12.0,4.0,,13.0,7.0,25.0,24.0,34.0,15.0,16.0,29.0,22.0,4.0
ANT9,95.0,63.0,66.0,34.0,45.0,31.0,54.0,81.0,61.0,12.0,50.0,100.0,33.0,50.0,32.0,73.0,71.0,38.0,35.0,66.0,43.0,61.0,33.0,24.0,29.0,99.0,54.0,100.0,25.0,115.0,64.0,44.0,36.0,35.0,22.0,71.0,24.0,51.0,68.0,13.0,47.0,47.0,67.0,41.0,70.0,71.0,49.0,30.0,66.0,50.0,100.0,78.0,45.0,98.0
APH3,3269.0,3483.0,3742.0,3222.0,3551.0,3934.0,4038.0,3725.0,4089.0,4338.0,2824.0,3911.0,3507.0,3529.0,3203.0,3210.0,4099.0,4169.0,4081.0,4657.0,2504.0,3336.0,3172.0,3140.0,3449.0,5126.0,4028.0,3830.0,2992.0,2982.0,4285.0,3813.0,3839.0,4642.0,3185.0,3303.0,3483.0,3520.0,4481.0,2626.0,3118.0,4066.0,3449.0,3675.0,3808.0,4811.0,3220.0,4177.0,2571.0,3381.0,3535.0,3811.0,3142.0,3373.0
APH3',1915.0,2194.0,1833.0,2147.0,1931.0,1857.0,2139.0,2037.0,2150.0,2445.0,1695.0,2403.0,1416.0,1630.0,1574.0,1322.0,2113.0,2123.0,1410.0,1863.0,1297.0,1466.0,1565.0,1655.0,1964.0,2049.0,1823.0,1449.0,1611.0,1697.0,1868.0,1583.0,1792.0,2203.0,1810.0,1876.0,1616.0,1829.0,2121.0,1722.0,1775.0,1813.0,1761.0,1443.0,2056.0,2465.0,1453.0,2381.0,1118.0,1635.0,1909.0,1985.0,1775.0,1759.0
APH3'',5294.0,5043.0,5080.0,4867.0,4993.0,5087.0,5180.0,5539.0,5482.0,5659.0,4379.0,5423.0,4966.0,5204.0,4988.0,5294.0,5327.0,4986.0,5329.0,5092.0,4481.0,4595.0,4706.0,4354.0,5258.0,6036.0,5159.0,4763.0,4364.0,5456.0,5339.0,5163.0,4322.0,5585.0,4868.0,5103.0,5365.0,5656.0,5279.0,5490.0,5382.0,4995.0,4786.0,3954.0,5555.0,5268.0,5417.0,5182.0,4310.0,4437.0,5247.0,5588.0,5011.0,5178.0
APH6,2857.0,2517.0,2934.0,2625.0,3096.0,3303.0,3123.0,3102.0,3421.0,3647.0,2378.0,3282.0,2365.0,2588.0,2315.0,2215.0,3015.0,2839.0,2897.0,3083.0,2123.0,2427.0,2323.0,2395.0,2372.0,3909.0,3027.0,2620.0,2340.0,2552.0,2559.0,2698.0,2448.0,3571.0,2510.0,2392.0,2635.0,2979.0,3455.0,2407.0,2635.0,3042.0,2811.0,2258.0,3143.0,3553.0,2648.0,3202.0,1898.0,2309.0,3369.0,3049.0,2666.0,2317.0
ArmA_Rmt,546.0,575.0,545.0,450.0,633.0,421.0,489.0,419.0,358.0,563.0,405.0,481.0,387.0,720.0,493.0,408.0,375.0,442.0,605.0,516.0,382.0,319.0,503.0,357.0,389.0,471.0,515.0,400.0,349.0,433.0,430.0,550.0,278.0,697.0,395.0,473.0,485.0,457.0,703.0,439.0,388.0,557.0,319.0,335.0,452.0,372.0,363.0,469.0,426.0,363.0,314.0,509.0,427.0,442.0
BCII,,,,,,8.0,,,,9.0,,6.0,5.0,,,,,,20.0,4.0,,3.0,,7.0,,,,,,,,3.0,,,9.0,,6.0,7.0,,,4.0,10.0,9.0,,8.0,,,9.0,,,9.0,,,
BJP,123.0,75.0,65.0,75.0,104.0,62.0,85.0,138.0,65.0,117.0,79.0,105.0,116.0,114.0,68.0,90.0,132.0,113.0,90.0,65.0,117.0,118.0,132.0,92.0,205.0,167.0,89.0,62.0,79.0,91.0,84.0,97.0,63.0,176.0,131.0,90.0,65.0,80.0,91.0,71.0,97.0,58.0,100.0,96.0,105.0,106.0,86.0,83.0,78.0,115.0,85.0,123.0,83.0,67.0
BlaB,7.0,,9.0,7.0,,3.0,10.0,7.0,11.0,,,,,9.0,12.0,21.0,16.0,,3.0,,4.0,5.0,,4.0,,9.0,,,,4.0,23.0,16.0,,9.0,22.0,5.0,5.0,,30.0,32.0,,,,,,,7.0,6.0,9.0,,7.0,7.0,18.0,23.0
CARB-PSE,35.0,8.0,95.0,111.0,42.0,29.0,53.0,50.0,10.0,55.0,37.0,56.0,117.0,45.0,90.0,35.0,14.0,65.0,48.0,11.0,6.0,18.0,81.0,6.0,97.0,14.0,9.0,30.0,10.0,212.0,41.0,84.0,43.0,,22.0,5.0,119.0,79.0,68.0,82.0,94.0,90.0,54.0,27.0,11.0,39.0,84.0,40.0,44.0,66.0,87.0,21.0,11.0,37.0
CMY-LAT-MOX-ACT-MIR-FOX,2057.0,2058.0,2508.0,2128.0,1692.0,2254.0,3041.0,2627.0,2446.0,2101.0,1846.0,2178.0,2016.0,2149.0,2002.0,1730.0,2518.0,3561.0,1775.0,2729.0,1675.0,2236.0,2339.0,1851.0,1783.0,2888.0,2174.0,2146.0,1577.0,2078.0,2158.0,1916.0,2437.0,1832.0,2034.0,2090.0,1821.0,2127.0,2767.0,2039.0,1740.0,2363.0,1750.0,2064.0,1937.0,2875.0,2338.0,2748.0,1910.0,2236.0,1946.0,2304.0,1755.0,1896.0
CTXM,115.0,76.0,86.0,76.0,76.0,94.0,83.0,149.0,69.0,137.0,53.0,33.0,54.0,56.0,52.0,80.0,94.0,38.0,91.0,139.0,54.0,68.0,26.0,94.0,78.0,135.0,70.0,71.0,91.0,19.0,64.0,46.0,98.0,26.0,46.0,63.0,63.0,39.0,134.0,11.0,75.0,127.0,115.0,48.0,104.0,88.0,68.0,147.0,79.0,39.0,85.0,39.0,38.0,85.0
CblA,,,4.0,,10.0,6.0,7.0,,,,,,,17.0,,,,,,28.0,5.0,,,19.0,,,5.0,,4.0,,9.0,3.0,,6.0,12.0,,,,,16.0,4.0,4.0,,,3.0,,,16.0,,,3.0,,,
CepA,9.0,3.0,6.0,17.0,4.0,18.0,3.0,,,,,9.0,,6.0,5.0,14.0,,3.0,28.0,,,10.0,,,7.0,5.0,9.0,,,17.0,,,4.0,1.0,,12.0,14.0,3.0,,36.0,,,,3.0,,,5.0,,,4.0,5.0,15.0,5.0,
Cfr23_rRNA_methyltrans,14968.0,14272.0,13758.0,13451.0,13555.0,12484.0,14268.0,14207.0,13419.0,13204.0,9632.0,13383.0,12166.0,13121.0,12639.0,12748.0,15014.0,12962.0,14312.0,12803.0,10294.0,10706.0,13481.0,11037.0,15731.0,14775.0,13732.0,11424.0,10356.0,15390.0,12785.0,13125.0,10160.0,13326.0,10897.0,13911.0,14236.0,13225.0,14210.0,13543.0,13726.0,12821.0,12094.0,10123.0,14784.0,13381.0,15446.0,13785.0,10911.0,10957.0,12350.0,14257.0,12920.0,12991.0
Chlor_Acetyltrans_CAT,6414.0,6306.0,5563.0,5810.0,5183.0,5791.0,5766.0,5601.0,5716.0,4706.0,3818.0,5341.0,4414.0,5302.0,4608.0,5803.0,6232.0,4838.0,5587.0,4701.0,4429.0,4748.0,5132.0,4287.0,6217.0,5479.0,5189.0,4921.0,3979.0,7032.0,5680.0,5121.0,3866.0,5139.0,4412.0,5961.0,5747.0,6158.0,5547.0,5613.0,5103.0,4975.0,4826.0,4019.0,5969.0,5102.0,6249.0,5528.0,4550.0,4330.0,5801.0,5795.0,5429.0,4659.0
Chlor_Efflux_Pump,53056.0,54514.0,52300.0,52758.0,51055.0,53304.0,56494.0,55398.0,57554.0,44169.0,39154.0,41808.0,45299.0,49351.0,48812.0,48403.0,55950.0,51693.0,53866.0,56149.0,40680.0,45300.0,46278.0,41808.0,52210.0,58801.0,55453.0,44719.0,41754.0,48310.0,53960.0,50739.0,40459.0,44123.0,47523.0,51619.0,49757.0,51596.0,59103.0,46080.0,49874.0,55792.0,49841.0,43216.0,59511.0,54288.0,53344.0,54577.0,45004.0,43073.0,54428.0,52962.0,46825.0,48360.0
Chlor_Phospho_CPT,2323.0,2011.0,1998.0,1973.0,2215.0,2351.0,2397.0,2037.0,1879.0,2174.0,1618.0,2110.0,1824.0,1887.0,1612.0,1835.0,2049.0,1997.0,2085.0,1744.0,1566.0,1727.0,1647.0,1895.0,1824.0,2431.0,1850.0,1726.0,1847.0,2105.0,2018.0,1899.0,2185.0,1891.0,2027.0,1899.0,2394.0,2055.0,2273.0,1705.0,1760.0,1920.0,2435.0,1745.0,2423.0,2289.0,1949.0,2140.0,1596.0,1730.0,2162.0,2081.0,1877.0,1605.0
ClassA,7433.0,7018.0,6301.0,6619.0,6862.0,7403.0,8071.0,7681.0,7709.0,6889.0,5129.0,6422.0,6100.0,6934.0,6381.0,6561.0,7360.0,6843.0,6732.0,7256.0,5600.0,5948.0,6618.0,5700.0,6767.0,7885.0,7551.0,6436.0,5749.0,7158.0,7274.0,6587.0,5350.0,7014.0,5797.0,6740.0,6924.0,7463.0,7944.0,6515.0,6785.0,6896.0,6615.0,5304.0,7245.0,7536.0,7066.0,7437.0,5759.0,6003.0,7269.0,7647.0,6822.0,6657.0
ClassB,53143.0,50395.0,49488.0,47295.0,49337.0,45789.0,51831.0,52191.0,52252.0,51895.0,36065.0,52378.0,43765.0,49205.0,45598.0,45316.0,54030.0,49995.0,50990.0,47178.0,37859.0,41297.0,45793.0,39615.0,51692.0,57393.0,51377.0,43688.0,36857.0,52568.0,48558.0,49561.0,38872.0,51932.0,42204.0,51092.0,48808.0,50763.0,54465.0,49603.0,49970.0,46755.0,44967.0,35444.0,56349.0,51125.0,54997.0,52636.0,37221.0,41248.0,46715.0,50214.0,47629.0,45901.0
ClassC-AmpC,36218.0,37317.0,33169.0,32852.0,34878.0,35304.0,38840.0,38822.0,39643.0,34370.0,27268.0,35231.0,30730.0,34979.0,32824.0,32903.0,38963.0,34327.0,36313.0,36203.0,27409.0,29467.0,33111.0,28762.0,38545.0,39838.0,36731.0,32084.0,27929.0,36253.0,35362.0,34933.0,26670.0,35711.0,29184.0,36817.0,34617.0,36078.0,37913.0,33323.0,32192.0,34963.0,32967.0,27492.0,38662.0,35308.0,36085.0,36455.0,31860.0,30067.0,33259.0,36590.0,33527.0,33936.0
ClassD,4063.0,4898.0,4189.0,3729.0,3883.0,3653.0,4175.0,4199.0,3677.0,5082.0,3004.0,4359.0,3157.0,3728.0,3471.0,3323.0,4845.0,4251.0,3457.0,3833.0,2883.0,2948.0,3376.0,2622.0,4164.0,4185.0,3719.0,3067.0,2948.0,4851.0,4199.0,3490.0,3109.0,5312.0,3198.0,4264.0,4466.0,3708.0,4014.0,4286.0,4200.0,3894.0,3481.0,2386.0,4023.0,4416.0,4089.0,4552.0,3176.0,3119.0,4343.0,4257.0,3908.0,3548.0
DHA,536.0,381.0,309.0,303.0,383.0,282.0,412.0,362.0,351.0,565.0,220.0,502.0,295.0,334.0,432.0,375.0,420.0,433.0,370.0,302.0,310.0,436.0,397.0,362.0,456.0,518.0,278.0,328.0,164.0,378.0,303.0,450.0,413.0,776.0,215.0,491.0,440.0,403.0,391.0,426.0,413.0,382.0,277.0,191.0,587.0,490.0,461.0,421.0,497.0,285.0,316.0,376.0,322.0,403.0
DIM-GIM-SIM,25.0,,35.0,36.0,29.0,,60.0,,10.0,,26.0,3.0,20.0,21.0,9.0,6.0,32.0,12.0,8.0,9.0,18.0,,42.0,27.0,4.0,6.0,7.0,9.0,9.0,21.0,15.0,7.0,,18.0,20.0,11.0,,27.0,16.0,5.0,,15.0,22.0,,3.0,,14.0,,5.0,16.0,24.0,,27.0,22.0
Erm23S_rRNA_methyltrans,22915.0,21746.0,20824.0,19881.0,20421.0,19194.0,21673.0,21515.0,21436.0,22076.0,15942.0,20848.0,18013.0,19808.0,18055.0,18987.0,22060.0,20049.0,21329.0,20907.0,16075.0,18127.0,19133.0,17196.0,22438.0,23887.0,20283.0,18881.0,16489.0,22771.0,19957.0,19229.0,17387.0,22393.0,17344.0,20538.0,20394.0,21312.0,22290.0,20359.0,20703.0,21431.0,19062.0,16068.0,23436.0,22356.0,21518.0,22894.0,17271.0,17286.0,20619.0,21671.0,19539.0,18992.0
Erm38,,,,18.0,,20.0,4.0,,,40.0,,26.0,,20.0,30.0,27.0,,7.0,8.0,,,,,6.0,,9.0,4.0,,19.0,7.0,5.0,,,34.0,14.0,,,84.0,39.0,7.0,,18.0,4.0,,,14.0,19.0,11.0,8.0,,,15.0,,
ErmA,,9.0,,,,10.0,4.0,,,14.0,31.0,26.0,,14.0,22.0,,11.0,8.0,7.0,,20.0,,29.0,12.0,21.0,,,,14.0,,,15.0,,10.0,,,4.0,16.0,,,,,,,,,13.0,10.0,,,13.0,16.0,,19.0
ErmB,148.0,233.0,165.0,123.0,178.0,240.0,191.0,285.0,236.0,155.0,198.0,109.0,284.0,169.0,273.0,293.0,220.0,237.0,256.0,258.0,192.0,214.0,165.0,182.0,245.0,201.0,294.0,177.0,251.0,88.0,245.0,218.0,196.0,172.0,197.0,240.0,196.0,217.0,214.0,229.0,234.0,245.0,263.0,198.0,162.0,230.0,152.0,265.0,287.0,185.0,197.0,203.0,224.0,234.0
ErmC,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
Exo,11.0,12.0,,46.0,5.0,33.0,47.0,9.0,54.0,11.0,18.0,3.0,7.0,21.0,8.0,32.0,16.0,13.0,29.0,38.0,20.0,53.0,17.0,8.0,12.0,12.0,21.0,37.0,15.0,17.0,12.0,31.0,5.0,30.0,23.0,19.0,13.0,3.0,35.0,16.0,17.0,38.0,27.0,74.0,8.0,,25.0,,14.0,9.0,74.0,18.0,9.0,30.0
Fluor_Res_DNA_Topo,49621.0,47085.0,47060.0,46116.0,46382.0,45685.0,48843.0,48421.0,48248.0,45112.0,36033.0,46063.0,42836.0,45710.0,43207.0,44467.0,50171.0,45558.0,48122.0,45992.0,38545.0,39562.0,45890.0,38360.0,48973.0,50719.0,46880.0,39428.0,37540.0,47779.0,43615.0,45732.0,37110.0,46961.0,41288.0,46783.0,47517.0,49386.0,50012.0,44999.0,45356.0,46685.0,42816.0,34338.0,52178.0,47202.0,53113.0,48124.0,37535.0,37413.0,46001.0,47493.0,43932.0,46833.0
GES,,,,,,,,,,11.0,,,,,14.0,,,7.0,,,,,,,,,,,9.0,,,9.0,,,,,,,8.0,,,,,,,,,,,,8.0,,,
GOB,267.0,267.0,271.0,225.0,275.0,191.0,239.0,229.0,265.0,288.0,247.0,420.0,311.0,288.0,277.0,340.0,343.0,231.0,299.0,270.0,270.0,227.0,206.0,216.0,347.0,191.0,226.0,170.0,221.0,372.0,278.0,219.0,200.0,418.0,244.0,257.0,231.0,221.0,270.0,347.0,244.0,219.0,237.0,227.0,272.0,271.0,300.0,239.0,205.0,254.0,177.0,247.0,208.0,200.0
IMP,,,9.0,,,,22.0,,,,,,,4.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,7.0,6.0,,,7.0,,,,,,,
IND,,32.0,,17.0,,,26.0,10.0,,,5.0,,,,9.0,,60.0,,,67.0,,37.0,,49.0,,32.0,19.0,9.0,,,,,38.0,,,,,,66.0,15.0,29.0,19.0,40.0,,,,,48.0,6.0,31.0,41.0,,,
KHM,32.0,,,17.0,14.0,7.0,,,,36.0,8.0,,,13.0,,,,10.0,,,,,28.0,6.0,8.0,9.0,8.0,2.0,,28.0,11.0,,,,6.0,,11.0,11.0,,,,,20.0,,5.0,,8.0,,21.0,,11.0,,,6.0
KPC,,,,,,10.0,,,9.0,,13.0,,3.0,,,,,,,,,,,4.0,,,7.0,,,8.0,4.0,12.0,,7.0,,4.0,8.0,5.0,,,,18.0,6.0,,,,,11.0,,,,,5.0,19.0
L1,445.0,515.0,536.0,435.0,506.0,495.0,418.0,528.0,449.0,482.0,332.0,301.0,385.0,470.0,707.0,592.0,499.0,421.0,483.0,546.0,483.0,474.0,328.0,217.0,384.0,545.0,408.0,475.0,216.0,479.0,442.0,496.0,285.0,510.0,348.0,455.0,655.0,385.0,475.0,559.0,533.0,256.0,445.0,279.0,515.0,626.0,454.0,445.0,300.0,382.0,422.0,384.0,414.0,422.0
LRA,80.0,29.0,24.0,15.0,24.0,3.0,105.0,45.0,8.0,39.0,7.0,34.0,14.0,36.0,45.0,22.0,45.0,4.0,16.0,26.0,,16.0,17.0,7.0,52.0,69.0,3.0,13.0,24.0,84.0,35.0,,25.0,41.0,14.0,11.0,10.0,35.0,15.0,17.0,17.0,7.0,5.0,43.0,21.0,12.0,22.0,75.0,,10.0,,27.0,,69.0
MFS_efflux,105402.0,108004.0,107230.0,101683.0,101904.0,116812.0,115635.0,113430.0,116744.0,100739.0,84031.0,99079.0,92658.0,104241.0,96623.0,96028.0,115384.0,107859.0,111463.0,118165.0,79588.0,92750.0,92451.0,83657.0,102534.0,118880.0,112202.0,99808.0,90421.0,90258.0,108058.0,104967.0,86777.0,100036.0,97303.0,104446.0,101326.0,104892.0,126622.0,90708.0,101604.0,115968.0,106195.0,86129.0,119833.0,116461.0,107642.0,115813.0,94447.0,87679.0,111128.0,106767.0,97871.0,95162.0
MexA,3991.0,3824.0,4009.0,3571.0,3865.0,3445.0,3842.0,3748.0,3747.0,4094.0,2754.0,3614.0,3125.0,3473.0,3346.0,3681.0,3354.0,3159.0,3685.0,3606.0,2600.0,3103.0,3250.0,2793.0,3891.0,4344.0,4008.0,3055.0,3050.0,3719.0,3458.0,3068.0,2776.0,4017.0,2868.0,4015.0,3890.0,4025.0,4013.0,3518.0,3861.0,3777.0,3030.0,2733.0,4056.0,3676.0,4097.0,3817.0,2960.0,2678.0,3145.0,3739.0,3524.0,3228.0
MexC,1413.0,1774.0,1600.0,1596.0,1174.0,1453.0,2074.0,1510.0,1574.0,1702.0,1106.0,1223.0,1226.0,1455.0,1813.0,1805.0,1528.0,1479.0,2021.0,1384.0,1173.0,1308.0,1588.0,1363.0,1892.0,1935.0,1646.0,1374.0,1289.0,1307.0,1619.0,1620.0,1233.0,1613.0,1065.0,1606.0,1501.0,1638.0,1562.0,1431.0,1638.0,1844.0,1425.0,1087.0,1613.0,1752.0,2172.0,1608.0,1255.0,1314.0,1537.0,1843.0,1671.0,1632.0
MexE,13188.0,13798.0,13077.0,12515.0,13052.0,11981.0,13693.0,13581.0,13076.0,10767.0,9296.0,10117.0,11491.0,13095.0,12232.0,11435.0,13467.0,12237.0,12876.0,12595.0,9856.0,11563.0,11761.0,10504.0,13862.0,14138.0,13016.0,11049.0,9953.0,10873.0,13156.0,12672.0,9985.0,11670.0,10627.0,12477.0,11992.0,11692.0,14412.0,11503.0,11555.0,12907.0,10889.0,10734.0,14137.0,12882.0,13560.0,13233.0,11635.0,11562.0,12182.0,13564.0,11470.0,12105.0
MexH,19816.0,18302.0,17095.0,17315.0,17524.0,13774.0,16691.0,16971.0,15371.0,19401.0,11234.0,17902.0,16263.0,16765.0,17432.0,16010.0,19397.0,14710.0,18987.0,13881.0,12750.0,12229.0,16989.0,13865.0,21327.0,17920.0,17465.0,12335.0,11582.0,20035.0,16423.0,16474.0,12419.0,20114.0,12674.0,18622.0,18027.0,17518.0,16375.0,19960.0,18058.0,15420.0,14461.0,12068.0,21239.0,16704.0,20210.0,17491.0,13681.0,13901.0,13675.0,17476.0,16013.0,16524.0
MexW-MexI,12648.0,11728.0,11831.0,11497.0,10894.0,9051.0,10474.0,10361.0,10369.0,11852.0,7931.0,10247.0,10517.0,10811.0,10673.0,11916.0,12121.0,9604.0,12025.0,9744.0,8251.0,8887.0,11136.0,8859.0,12594.0,11061.0,11582.0,8520.0,8888.0,11949.0,10672.0,11060.0,8831.0,11121.0,9231.0,11753.0,12395.0,11094.0,11263.0,11701.0,12312.0,11862.0,9249.0,7045.0,14024.0,11154.0,13427.0,12277.0,8888.0,8537.0,8601.0,11367.0,10899.0,10759.0
MexX,1852.0,2783.0,1801.0,1809.0,1789.0,1634.0,1990.0,2108.0,1922.0,1705.0,1571.0,2124.0,1633.0,2121.0,1977.0,1677.0,2079.0,2185.0,2453.0,1895.0,1573.0,1658.0,2146.0,1911.0,2089.0,2597.0,2054.0,1812.0,2081.0,1182.0,1993.0,2113.0,1582.0,1750.0,1494.0,1879.0,1911.0,1999.0,2004.0,2148.0,1781.0,2476.0,1755.0,1845.0,2285.0,1918.0,2622.0,2477.0,2198.0,2087.0,1680.0,1963.0,1776.0,2001.0
MoxA,20.0,,,,,29.0,,,13.0,25.0,,,9.0,,,,,,4.0,,4.0,,,,15.0,,4.0,,,,6.0,,,,,10.0,,10.0,4.0,4.0,,29.0,8.0,,,,,42.0,,,,,,9.0
NDM-CcrA,48.0,19.0,22.0,36.0,75.0,107.0,98.0,70.0,44.0,86.0,18.0,43.0,18.0,16.0,23.0,24.0,84.0,42.0,56.0,43.0,22.0,9.0,37.0,20.0,38.0,104.0,38.0,20.0,48.0,26.0,151.0,5.0,19.0,211.0,47.0,35.0,28.0,171.0,51.0,89.0,18.0,64.0,20.0,29.0,26.0,21.0,37.0,62.0,28.0,34.0,46.0,57.0,42.0,14.0
PC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,5.0
Qnr,6908.0,6716.0,6309.0,6286.0,5870.0,6032.0,6928.0,6946.0,7755.0,7039.0,5086.0,6873.0,6106.0,6236.0,5554.0,6128.0,7546.0,6763.0,7198.0,6697.0,5142.0,5444.0,5690.0,5309.0,7450.0,7039.0,7132.0,5843.0,5778.0,9500.0,6473.0,6050.0,5357.0,7519.0,5697.0,6826.0,7011.0,7573.0,7530.0,5684.0,6044.0,6938.0,5854.0,5324.0,6719.0,7168.0,6908.0,7836.0,5767.0,5410.0,7436.0,6723.0,6130.0,6659.0
