feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K08884	group	T_GUS	0.229145889312983	0.0508087439005352	21	21	6.48369229850373e-06	0.0479244972358391
K13587	group	T_GUS	0.274751809129442	0.0626008962088998	21	21	1.13902548391774e-05	0.0479244972358391
K03088	group	T_GUS	0.120206847771187	0.0310200306419513	21	21	0.000106565020339012	0.224186161538197
K07114	group	T_GUS	0.220267712450173	0.0567193339159343	21	21	0.000102977133217059	0.224186161538197
